code,company_name,gics_sector,gics_industry_group,market_cap_rank
CC5,CLEVER CULTURE SYSTEMS LIMITED,Health Care,Health Care Equipment & Services,863
AVM,ADVANCE METALS LIMITED,Materials,Materials,864
RHY,RHYTHM BIOSCIENCES LIMITED,Health Care,Health Care Equipment & Services,865
ABV,ADVANCED BRAKING TECHNOLOGY LTD,Consumer Discretionary,Automobiles & Components,866
AKN,AUKING MINING LIMITED,Materials,Materials,867
PTR,PTR MINERALS LTD,Materials,Materials,868
DSK,DUSK GROUP LIMITED,Consumer Discretionary,Consumer Discretionary Distribution & Retail,869
SFM,SANTA FE MINERALS LTD,Materials,Materials,870
AGC,AUSTRALIAN GOLD AND COPPER LTD,Materials,Materials,871
ANO,ADVANCE ZINCTEK LIMITED,Materials,Materials,872
SIO,SIMONDS GROUP LIMITED,Consumer Discretionary,Consumer Durables & Apparel,873
WWG,WISEWAY GROUP LIMITED,Industrials,Transportation,874
PXX,POLARX LIMITED,Materials,Materials,875
AGR,AGUIA RESOURCES LIMITED,Materials,Materials,876
ATP,ATLAS PEARLS LTD,Consumer Discretionary,Consumer Durables & Apparel,877
AIM,AI-MEDIA TECHNOLOGIES LIMITED,Information Technology,Software & Services,878
AFA,ASF GROUP LIMITED,Financials,Financial Services,879
FGH,FORESTA GROUP HOLDINGS LIMITED,Materials,Materials,880
WGR,WESTERN GOLD RESOURCES LIMITED,Materials,Materials,881
VMC,VENUS METALS CORPORATION LIMITED,Materials,Materials,882
ANX,ANAX METALS LIMITED,Materials,Materials,883
IIQ,INOVIQ LTD,Health Care,Health Care Equipment & Services,884
RFG,RETAIL FOOD GROUP LIMITED,Consumer Discretionary,Consumer Services,885
WAG,THE AUSTRALIAN WEALTH ADVISORS GROUP LIMITED,Financials,Financial Services,886
AQN,AQUIRIAN LIMITED,Industrials,Commercial & Professional Services,887
WTL,WT FINANCIAL GROUP LIMITED,Financials,Financial Services,888
AVE,AVECHO BIOTECHNOLOGY LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",889
PNN,POWER MINERALS LIMITED,Materials,Materials,890
BEZ,BESRA GOLD INC,Materials,Materials,891
VMT,VMOTO LIMITED,Consumer Discretionary,Automobiles & Components,892
ORD,ORDELL MINERALS LIMITED,Materials,Materials,893
IMU,IMUGENE LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",894
XRG,XREALITY GROUP LTD,Consumer Discretionary,Consumer Services,895
VRX,VRX SILICA LIMITED,Materials,Materials,896
ODE,ODESSA MINERALS LIMITED,Materials,Materials,897
SKM,SKYLARK MINERALS LIMITED,Materials,Materials,898
VTX,VERTEX MINERALS LIMITED,Materials,Materials,899
GTN,GTN LIMITED,Communication Services,Media & Entertainment,900
WAU,WA GOLD LIMITED,Materials,Materials,901
KCC,KINCORA COPPER LIMITED,Materials,Materials,902
MDX,MINDAX LIMITED,Materials,Materials,903
WCN,WHITE CLIFF MINERALS LIMITED,Materials,Materials,904
MRZ,MONT ROYAL RESOURCES LIMITED,Materials,Materials,905
SEN,SENETAS CORPORATION LIMITED,Information Technology,Technology Hardware & Equipment,906
IMA,IMAGE RESOURCES NL,Materials,Materials,907
ZNC,ZENITH MINERALS LIMITED,Materials,Materials,908
GA8,GOLDARC RESOURCES LIMITED,Materials,Materials,909
ILT,ILTANI RESOURCES LIMITED,Materials,Materials,910
KPO,KALINA POWER LIMITED,Utilities,Utilities,911
MRR,MINREX RESOURCES LIMITED,Materials,Materials,912
QML,QMINES LIMITED,Materials,Materials,913
IOV,ION VIDEO LTD,Information Technology,Software & Services,914
GUM,GUMTREE AUSTRALIA MARKETS LIMITED,Communication Services,Media & Entertainment,915
TMK,TMK ENERGY LIMITED,Energy,Energy,916
GR8,GREAT DIRT RESOURCES LTD,Materials,Materials,917
LKO,LAKES BLUE ENERGY NL,Energy,Energy,918
M79,MAMMOTH MINERALS LIMITED,Materials,Materials,919
BSR,BISON RESOURCES LIMITED,Materials,Materials,920
GWR,GWR GROUP LIMITED,Materials,Materials,921
RAU,RESOURO STRATEGIC METALS INC,Materials,Materials,922
ADO,ANTEOTECH LTD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",923
MRD,MOUNT RIDLEY MINES LIMITED,Materials,Materials,924
PPL,PUREPROFILE LTD,Communication Services,Media & Entertainment,925
AEV,AVENIRA LIMITED,Materials,Materials,926
HIT,HITECH GROUP AUSTRALIA LIMITED,Industrials,Commercial & Professional Services,927
CCG,COMMS GROUP LTD,Communication Services,Telecommunication Services,928
TVL,TOUCH VENTURES LIMITED,Financials,Financial Services,929
CST,CASTILE RESOURCES LTD,Materials,Materials,930
EGG,ENERO GROUP LIMITED,Communication Services,Media & Entertainment,931
HHR,HARTSHEAD RESOURCES NL,Energy,Energy,932
PR1,PURE RESOURCES LIMITED,Materials,Materials,933
BNL,BLUE STAR HELIUM LIMITED,Energy,Energy,934
HVY,HEAVY MINERALS LIMITED,Materials,Materials,935
SWP,SWOOP HOLDINGS LIMITED,Communication Services,Telecommunication Services,936
TCO,TRANSMETRO CORPORATION LIMITED,Consumer Discretionary,Consumer Services,937
CNQ,CLEAN TEQ WATER LIMITED,Industrials,Commercial & Professional Services,938
STP,STEP ONE CLOTHING LIMITED,Consumer Discretionary,Consumer Discretionary Distribution & Retail,939
NXN,NEXSEN LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",940
WZR,WISR LIMITED,Financials,Financial Services,941
ADN,ANDROMEDA METALS LIMITED,Materials,Materials,942
LIB,LIBERTY METALS LTD,Materials,Materials,943
FEG,FAR EAST GOLD LTD,Materials,Materials,944
PAT,PATRIOT RESOURCES LIMITED,Materials,Materials,945
RVT,RICHMOND VANADIUM TECHNOLOGY LIMITED,Materials,Materials,946
ABY,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary,Consumer Discretionary Distribution & Retail,947
ARI,ARIKA RESOURCES LIMITED,Materials,Materials,948
DES,DESOTO RESOURCES LIMITED,Materials,Materials,949
VML,VITAL METALS LIMITED,Materials,Materials,950
BTM,BREAKTHROUGH MINERALS LIMITED,Energy,Energy,951
LEL,LITHIUM ENERGY LIMITED,Materials,Materials,952
MX1,MICRO-X LIMITED,Health Care,Health Care Equipment & Services,953
EYE,NOVA EYE MEDICAL LIMITED,Health Care,Health Care Equipment & Services,954
FRB,FIREBIRD METALS LIMITED,Materials,Materials,955
EMD,EMYRIA LIMITED,Health Care,Health Care Equipment & Services,956
MBH,MAGGIE BEER HOLDINGS LTD,Other,"Food, Beverage & Tobacco",957
BLG,BLUGLASS LIMITED,Information Technology,Semiconductors & Semiconductor Equipment,958
TR2,TALI RESOURCES LTD,Materials,Materials,959
KRR,KING RIVER RESOURCES LIMITED,Materials,Materials,960
LEX,LEFROY EXPLORATION LIMITED,Materials,Materials,961
GCM,GCM CORPORATION LIMITED,Materials,Materials,962
SNX,SIERRA NEVADA GOLD INC,Materials,Materials,963
RGL,RIVERSGOLD LIMITED,Materials,Materials,964
NXM,NEXUS MINERALS LIMITED,Materials,Materials,965
BKT,BLACK ROCK MINING LIMITED,Materials,Materials,966
KM1,KALI METALS LIMITED,Materials,Materials,967
DGH,DESANE GROUP HOLDINGS LIMITED,Real Estate,Real Estate Management & Development,968
HAW,HAWTHORN RESOURCES LIMITED,Materials,Materials,969
PL9,PRAIRIE LITHIUM LIMITED,Materials,Materials,970
PCK,PAINCHEK LTD,Health Care,Health Care Equipment & Services,971
ASH,ASHLEY SERVICES GROUP LIMITED,Industrials,Commercial & Professional Services,972
FRX,FLEXIROAM LIMITED,Communication Services,Telecommunication Services,973
LMS,LITCHFIELD MINERALS LIMITED,Materials,Materials,974
RIM,RIMFIRE PACIFIC MINING LIMITED,Materials,Materials,975
EPY,EARLYPAY LTD,Financials,Financial Services,976
JAL,JAMESON RESOURCES LIMITED,Materials,Materials,977
NSB,NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",978
AAU,ANTILLES GOLD LIMITED,Materials,Materials,979
AMS,ATOMOS LIMITED,Consumer Discretionary,Consumer Durables & Apparel,980
FUN,FORTUNA METALS LTD,Materials,Materials,981
CG1,CARBONXT GROUP LIMITED,Materials,Materials,982
S2R,S2 RESOURCES LTD,Materials,Materials,983
TIP,TEAMINVEST PRIVATE GROUP LIMITED,Financials,Financial Services,984
NC6,NANOLLOSE LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",985
CPV,CLEARVUE TECHNOLOGIES LIMITED,Industrials,Capital Goods,986
ATC,ALTECH BATTERIES LTD,Materials,Materials,987
NMT,NEOMETALS LTD,Materials,Materials,988
AR3,AUSTRALIAN RARE EARTHS LIMITED,Materials,Materials,989
88E,88 ENERGY LIMITED,Energy,Energy,990
CLA,CELSIUS RESOURCES LIMITED,Materials,Materials,991
CSX,CLEANSPACE HOLDINGS LIMITED,Health Care,Health Care Equipment & Services,992
GW1,GREENWING RESOURCES LTD,Materials,Materials,993
GGR,GOLDEN GLOBE RESOURCES LTD,Materials,Materials,994
OEC,ORBITAL CORPORATION LIMITED,Industrials,Capital Goods,995
NXD,NEXTED GROUP LIMITED,Consumer Discretionary,Consumer Services,996
ALM,ALMA METALS LIMITED,Energy,Energy,997
JAN,JANISON EDUCATION GROUP LIMITED,Information Technology,Software & Services,998
TRI,TRIVARX LTD,Health Care,Health Care Equipment & Services,999
BMR,BALLYMORE RESOURCES LIMITED,Materials,Materials,1000
NTD,NTAW HOLDINGS LIMITED,Consumer Discretionary,Consumer Discretionary Distribution & Retail,1001
FAU,FIRST AU LIMITED,Materials,Materials,1002
AMN,AGRIMIN LIMITED,Materials,Materials,1003
